timestep,timestamp_ns,elapsed_s,qpos_left_j1,qpos_left_j2,qpos_left_j3,qpos_left_j4,qpos_left_j5,qpos_left_j6,qpos_left_gripper,qpos_right_j1,qpos_right_j2,qpos_right_j3,qpos_right_j4,qpos_right_j5,qpos_right_j6,qpos_right_gripper,qvel_left_j1,qvel_left_j2,qvel_left_j3,qvel_left_j4,qvel_left_j5,qvel_left_j6,qvel_left_gripper,qvel_right_j1,qvel_right_j2,qvel_right_j3,qvel_right_j4,qvel_right_j5,qvel_right_j6,qvel_right_gripper,action_left_j1,action_left_j2,action_left_j3,action_left_j4,action_left_j5,action_left_j6,action_left_gripper,action_right_j1,action_right_j2,action_right_j3,action_right_j4,action_right_j5,action_right_j6,action_right_gripper
10,2130113432847,0.216013138,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2130147484219,0.25006451,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2130179924473,0.282504764,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2130213375534,0.315955825,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2130248232197,0.350812488,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2130279990925,0.382571216,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2130313863086,0.416443377,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2130350030591,0.452610882,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2130380193695,0.482773986,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2130414112102,0.516692393,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2130448745731,0.551326022,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2130480206184,0.582786475,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2130513593430,0.616173721,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2130547983835,0.650564126,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2130580229650,0.682809941,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2130614599757,0.717180048,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2130647967025,0.750547316,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2130680326708,0.782906999,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01401499379426241,0.21099285781383514,-0.10372491925954819,-0.06986553221940994,0.08640000224113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
